"last_name, first_name","player_id","year","player_age","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_sac_fly","r_run"
"Pujols, Albert",405395,2020,40,163,34,20,8,0,6,25,9,".224",".395",".270","0.665",".230","25","72","60","0","0","4","1","15"
"Cabrera, Miguel",408234,2020,37,231,51,37,4,0,10,51,24,".250",".417",".329","0.746",".283","35","69","85","0","1","3","2","28"
"Choo, Shin-Soo",425783,2020,37,127,26,18,3,0,5,33,13,".236",".400",".323","0.723",".284","15","31","44","2","6","1","2","13"
"Molina, Yadier",425877,2020,37,156,38,32,2,0,4,21,6,".262",".359",".303","0.662",".281","16","60","52","0","0","7","1","12"
"Canó, Robinson",429664,2020,37,182,54,35,9,0,10,24,9,".316",".544",".352","0.896",".319","30","68","93","0","0","7","1","23"
"Encarnación, Edwin",429665,2020,37,181,25,10,5,0,10,54,16,".157",".377",".250","0.627",".156","19","86","60","0","0","3","1","19"
"Kendrick, Howie",435062,2020,36,100,25,19,4,0,2,17,7,".275",".385",".320","0.705",".311","14","50","35","0","0","4","2","11"
"Suzuki, Kurt",435559,2020,36,129,30,20,8,0,2,19,11,".270",".396",".349","0.745",".301","17","55","44","0","1","4","3","15"
"Cruz, Nelson",443558,2020,39,214,56,34,6,0,16,58,25,".303",".595",".397","0.992",".360","33","80","110","0","0","8","0","33"
"Peralta, David",444482,2020,32,218,61,45,10,1,5,45,13,".300",".433",".339","0.772",".361","34","80","88","0","1","4","2","19"
"Longoria, Evan",446334,2020,34,209,49,31,10,1,7,39,11,".254",".425",".297","0.722",".280","28","108","82","1","0","10","3","26"
"Fowler, Dexter",451594,2020,34,101,21,15,2,0,4,28,10,".233",".389",".317","0.706",".293","15","40","35","1","1","2","0","14"
"Cabrera, Asdrúbal",452678,2020,34,213,46,26,9,3,8,40,19,".242",".447",".305","0.752",".260","31","94","85","0","0","6","4","23"
"Blackmon, Charlie",453568,2020,33,247,67,48,12,1,6,44,19,".303",".448",".356","0.804",".347","42","104","99","1","2","4","5","31"
"Frazier, Todd",453943,2020,34,172,37,23,9,1,4,42,11,".236",".382",".302","0.684",".297","12","63","60","1","1","1","0","16"
"Maldonado, Martín",455117,2020,33,165,29,19,4,0,6,51,27,".215",".378",".350","0.728",".295","24","40","51","0","1","2","0","19"
"Markakis, Nick",455976,2020,36,141,33,17,15,0,1,23,10,".254",".392",".312","0.704",".302","15","68","51","1","0","5","0","15"
"Solano, Donovan",456781,2020,32,203,62,43,15,1,3,39,10,".326",".463",".365","0.828",".396","29","82","88","0","0","2","1","22"
"McCutchen, Andrew",457705,2020,33,241,55,36,9,0,10,48,22,".253",".433",".324","0.757",".281","34","72","94","0","4","4","1","32"
"Upton, Justin",457708,2020,32,166,30,16,5,0,9,43,11,".204",".422",".289","0.711",".219","22","69","62","2","0","6","1","20"
"Maybin, Cameron",457727,2020,33,101,23,13,8,1,1,25,7,".247",".387",".307","0.694",".328","7","42","36","0","3","4","0","8"
"Turner, Justin",457759,2020,35,175,46,32,9,1,4,26,18,".307",".460",".400","0.860",".347","23","54","69","0","1","2","1","26"
"Bruce, Jay",457803,2020,33,103,19,7,4,2,6,24,7,".198",".469",".252","0.721",".197","14","52","45","0","0","1","0","11"
"Votto, Joey",458015,2020,36,223,42,23,8,0,11,43,37,".226",".446",".354","0.800",".235","22","65","83","0","0","5","0","32"
"Gardner, Brett",458731,2020,36,158,29,18,5,1,5,35,26,".223",".392",".354","0.746",".264","15","59","51","3","3","0","1","20"
"Joyce, Matt",459964,2020,35,148,32,26,4,0,2,41,20,".252",".331",".351","0.682",".353","14","55","42","0","1","3","1","16"
"Braun, Ryan",460075,2020,36,141,30,14,7,1,8,27,7,".233",".488",".281","0.769",".232","26","55","63","0","1","6","1","14"
"Gordon, Alex",460086,2020,36,184,34,26,4,0,4,37,18,".209",".307",".299","0.606",".246","11","72","50","0","0","0","0","15"
"Kemp, Matt",461314,2020,35,132,28,19,3,0,6,41,15,".239",".419",".326","0.745",".314","21","50","49","0","1","5","0","18"
"Andrus, Elvis",462101,2020,31,111,20,12,5,0,3,15,8,".194",".330",".252","0.582",".200","7","43","34","1","3","5","0","11"
"Ramos, Wilson",467092,2020,32,155,34,23,6,0,5,31,10,".239",".387",".297","0.684",".271","15","85","55","0","0","5","1","13"
"Santana, Carlos",467793,2020,34,255,41,26,7,0,8,43,47,".199",".350",".349","0.699",".212","30","106","72","0","0","5","1","34"
"Belt, Brandon",474832,2020,32,179,46,23,13,1,9,36,30,".309",".591",".425","1.016",".356","30","69","88","0","0","5","0","25"
"Smoak, Justin",475253,2020,33,132,21,9,7,0,5,42,10,".176",".361",".250","0.611",".219","15","48","43","0","0","4","1","14"
"Brantley, Michael",488726,2020,33,187,51,31,15,0,5,28,17,".300",".476",".364","0.840",".336","22","68","81","0","2","3","0","24"
"Gurriel, Yuli",493329,2020,36,230,49,30,12,1,6,27,12,".232",".384",".274","0.658",".235","22","110","81","1","0","6","5","27"
"Rojas, Miguel",500743,2020,31,143,38,23,10,1,4,18,16,".304",".496",".392","0.888",".330","20","47","62","1","5","1","0","20"
"Escobar, Eduardo",500871,2020,31,222,43,29,7,3,4,41,15,".212",".335",".270","0.605",".244","20","100","68","0","1","5","2","22"
"Adrianza, Ehire",501303,2020,30,101,17,10,7,0,0,23,11,".191",".270",".287","0.557",".258","3","46","24","0","1","3","0","10"
"Pham, Tommy",502054,2020,32,125,23,18,2,0,3,27,15,".211",".312",".312","0.624",".253","12","45","34","0","6","2","0","13"
"Martinez, J.D.",502110,2020,32,237,45,22,16,0,7,59,22,".213",".389",".291","0.680",".259","27","109","82","0","1","6","2","22"
"Reddick, Josh",502210,2020,33,210,46,30,11,1,4,42,20,".245",".378",".316","0.694",".294","23","86","71","0","1","5","1","22"
"Murphy, Daniel",502517,2020,35,132,29,23,3,0,3,21,7,".236",".333",".275","0.608",".260","16","47","41","0","0","3","1","10"
"Goldschmidt, Paul",502671,2020,32,231,58,39,13,0,6,43,37,".304",".466",".417","0.883",".364","21","79","89","0","1","4","1","31"
"Gonzalez, Marwin",503556,2020,31,199,37,28,4,0,5,41,17,".211",".320",".286","0.606",".241","22","53","56","0","0","1","4","15"
"Altuve, Jose",514888,2020,30,210,42,28,9,0,5,39,17,".219",".344",".286","0.630",".250","18","96","66","3","2","5","0","32"
"Hernández, César",514917,2020,30,261,66,43,20,0,3,57,24,".283",".408",".355","0.763",".364","20","79","95","0","0","3","0","35"
"Segura, Jean",516416,2020,30,217,51,37,5,2,7,45,23,".266",".422",".347","0.769",".314","25","82","81","2","2","6","0","28"
"Marte, Starling",516782,2020,31,250,64,43,14,1,6,41,12,".281",".430",".340","0.770",".319","27","94","98","2","10","5","1","36"
"d'Arnaud, Travis",518595,2020,31,184,53,36,8,0,9,50,16,".321",".533",".386","0.919",".411","34","95","88","0","1","8","1","19"
"Donaldson, Josh",518626,2020,34,102,18,10,2,0,6,24,18,".222",".469",".373","0.842",".231","11","29","38","0","0","4","1","14"
